t,value
1614184844,0.4
1614184849,0.5714285714285714
1614184854,0.7
1614184859,0.75
1614184864,0.7058823529411765
1614184869,0.7368421052631579
1614184874,0.7727272727272727
1614184879,0.7307692307692307
1614184884,0.7586206896551724
